RespondentID,FamiliarWithABTs,UsageOfABTs,PerceivedImpact,DataProtectionConcerns,BiasConcerns,TrainingNeeds,AutomationEfficiency,PersonalizedLearning,ImpactOnTeaching,ImpactOnLearning,ImpactOnExams,PositiveExperiences,NegativeExperiences,FutureExpectations,TechnicalSkills,TrainingReceived,TrainingNeeded,TrustInABTs,AIInCourseDesign,AIInGrading,AIInAdministration,ImpactOnStudentEngagement,ImpactOnLearningOutcomes,Gender,Age,Country,Role
1,No,Yes,Moderate,High,Low,Moderate,Moderate,High,High,Low,High,Positive,None,Moderate,Moderate,No,No,Low,Yes,Yes,Yes,Low,Low,Female,39,China,Student
2,Yes,Yes,Low,Low,High,Moderate,Low,Low,High,Low,Moderate,None,None,Moderate,Moderate,Yes,No,Moderate,Yes,No,No,Moderate,Moderate,Male,53,Australia,Other
3,Yes,No,Low,Low,Low,Moderate,High,Low,High,Low,High,None,Negative,Low,Low,Yes,Yes,High,No,No,Yes,Low,Moderate,Female,29,UK,Student
4,Yes,No,Moderate,Low,Low,High,Moderate,High,Moderate,High,Low,None,Negative,High,High,Yes,Yes,High,Yes,Yes,No,Moderate,High,Female,53,UK,Teacher
5,No,No,Moderate,High,Moderate,Moderate,High,High,High,Low,High,Positive,Negative,Low,High,Yes,Yes,High,No,No,Yes,Moderate,High,Female,33,India,Student
6,No,No,Low,High,High,Low,High,High,Low,Low,High,Positive,None,High,High,No,Yes,Moderate,No,Yes,No,Low,Low,Male,53,UK,Teacher
7,Yes,No,Low,Moderate,Low,Low,Moderate,High,Low,Moderate,High,Positive,Negative,Moderate,High,Yes,Yes,High,Yes,Yes,No,Low,Low,Female,56,India,Other
8,No,No,Low,High,Low,High,Low,High,Moderate,High,Low,Positive,None,Low,Low,No,Yes,High,No,No,Yes,Low,Moderate,Male,29,Australia,Teacher
9,No,No,High,High,High,Low,Moderate,Moderate,High,High,High,None,None,High,Low,Yes,No,High,Yes,No,Yes,High,Low,Male,51,China,Other
10,No,Yes,Moderate,High,High,High,Low,Moderate,Low,High,Low,None,Negative,Moderate,Low,No,Yes,Moderate,No,No,No,High,Low,Other,54,UK,Student
11,Yes,No,Low,Moderate,Moderate,Moderate,Moderate,High,Low,Low,High,None,Negative,High,Low,Yes,Yes,Moderate,No,Yes,Yes,High,Moderate,Female,35,USA,Student
12,Yes,Yes,High,Low,Low,Low,Low,Moderate,High,Moderate,Low,None,None,Low,High,Yes,Yes,Low,Yes,Yes,Yes,Low,Low,Other,57,India,Teacher
13,Yes,Yes,Low,Low,High,Low,Low,High,High,Moderate,High,None,None,Low,Low,No,No,High,No,No,Yes,High,Moderate,Other,54,Australia,Student
14,No,No,Low,Low,Low,High,High,Moderate,Low,High,High,None,Negative,High,Low,Yes,No,High,Yes,Yes,Yes,High,Moderate,Female,59,Germany,Student
15,No,No,High,Moderate,High,High,Moderate,High,Low,High,Low,None,None,Low,Moderate,Yes,No,Low,Yes,No,Yes,Low,High,Male,22,UK,Student
16,No,Yes,High,Low,Low,Low,Moderate,Moderate,Moderate,Low,Low,None,Negative,High,Moderate,Yes,No,Low,Yes,Yes,No,High,Low,Other,42,India,Teacher
17,Yes,Yes,Low,Low,High,High,Moderate,Moderate,Low,High,Low,Positive,Negative,High,Moderate,No,Yes,Low,Yes,No,No,Low,Low,Female,27,UK,Other
18,No,No,Low,Moderate,Moderate,Moderate,Moderate,High,Low,Moderate,Moderate,Positive,Negative,High,Moderate,No,No,Low,Yes,Yes,Yes,Low,High,Other,41,Australia,Teacher
19,No,No,High,High,High,High,High,Moderate,High,Moderate,Moderate,None,None,Low,High,No,No,Moderate,Yes,Yes,Yes,High,High,Male,39,USA,Teacher
20,Yes,No,Low,Low,Moderate,Low,Low,Low,Low,High,Moderate,None,None,Low,High,Yes,Yes,Low,Yes,No,Yes,Low,Low,Female,47,Australia,Other
21,No,No,Low,Moderate,High,High,High,Low,Moderate,High,Low,None,None,Moderate,Low,No,Yes,High,No,No,Yes,High,High,Female,20,USA,Teacher
22,No,No,High,Low,Moderate,High,Low,Moderate,Low,Low,Moderate,Positive,Negative,Low,Low,Yes,Yes,High,Yes,No,Yes,Moderate,High,Female,30,USA,Teacher
23,Yes,No,High,High,Moderate,Moderate,Low,Moderate,High,Low,Moderate,Positive,Negative,Low,Moderate,Yes,No,High,No,No,No,Low,Low,Other,29,UK,Other
24,Yes,No,High,High,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,Positive,Negative,Moderate,Low,No,Yes,High,No,No,No,Moderate,Low,Female,20,Australia,Student
25,No,Yes,Low,Low,Moderate,Moderate,High,Moderate,Moderate,Low,High,Positive,None,High,Low,Yes,No,Moderate,Yes,No,No,High,High,Male,38,India,Teacher
26,Yes,No,High,High,High,High,Moderate,Moderate,High,Low,Moderate,None,Negative,High,Moderate,No,No,Low,No,Yes,No,Low,Low,Other,22,Australia,Student
